PERIODO;MES;CODIGO_ESTABLECIMIENTO;ESTABLECIMIENTO;AREA_FUNCIONAL;INDICE_OCUPACIONAL_PREDICHO;VALOR_REAL
2026;3;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Adultos;93.3;98.75
2026;4;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Adultos;97.95;98.6
2026;5;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Adultos;97.74;99.07
2026;6;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Adultos;98.55;
2026;7;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Adultos;98.67;
2026;8;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Adultos;98.32;
2026;9;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Adultos;97.52;
2026;10;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Adultos;96.58;
2026;11;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Adultos;95.87;
2026;12;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Adultos;92.61;
2026;1;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Pediátricos;66.92;54.99
2026;2;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Pediátricos;62.64;51.19
2026;3;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Pediátricos;58.16;54.72
2026;4;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Pediátricos;53.3;53.76
2026;5;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Pediátricos;56.25;62.9
2026;6;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Pediátricos;77.0;
2026;7;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Pediátricos;81.35;
2026;8;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Pediátricos;76.64;
2026;9;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Pediátricos;80.1;
2026;10;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Pediátricos;79.47;
2026;11;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Pediátricos;79.97;
2026;12;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Pediátricos;77.69;
2026;1;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Básicos;97.87;99.44
2026;2;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Básicos;96.9;100.0
2026;3;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Básicos;94.42;99.78
2026;4;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Básicos;97.16;99.67
2026;5;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Básicos;98.65;99.78
2026;6;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Básicos;98.45;
2026;7;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Básicos;97.83;
2026;8;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Básicos;98.45;
2026;9;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Básicos;97.84;
2026;10;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Básicos;97.82;
2026;11;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Básicos;97.87;
2026;12;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Básicos;97.47;
2026;1;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Medios;95.05;95.28
2026;2;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Medios;95.73;95.23
2026;3;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Medios;95.32;96.31
2026;4;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Medios;95.72;95.89
2026;5;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Medios;94.82;96.4
2026;6;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Medios;95.5;
2026;7;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Medios;94.95;
2026;8;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Medios;95.67;
